reserve,estimate_minimum,estimate_maximum,category_descriptions,subcategory_1,buyers_premium_pct,buyers_premium_vat_pct,vendors_commission_pct,vendors_commission_vat_pct,hammer_price,hammer_vat_pct,sold,sale_status,price_performance,sold_below_reserve,buyer_premium_revenue,buyer_premium_vat,vendor_commission_revenue,vendor_commission_vat,vendor_id,public_lot_id
180,200,300,Watch/Pocket watch/Clock,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0071
110,130,180,Watch/Pocket watch/Clock,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0072
5500,5500,7000,Watch/Pocket watch/Clock,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0073
2541,2500,2900,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0074
500,550,600,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V011,L0075
130,150,200,Watch/Pocket watch/Clock,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0076
1400,1400,1900,Watch/Pocket watch/Clock,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0077
1000,1000,1200,Watch/Pocket watch/Clock,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0078
4500,4500,6500,Watch/Pocket watch/Clock,,20.0,20.0,10.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V041,L0079
50,50,60,Writing Pens Stationery,,20.0,20.0,0.0,20.0,50,0,True,Sold,Within Estimate,False,10.0,2.0,0.0,0.0,V060,L0080
2387,2400,2900,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0081
375,375,475,"Gemstones, minerals, fossils",,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V008,L0082
270,290,400,Watch/Pocket watch/Clock,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0083
800,800,1000,Jewellery,,20.0,20.0,10.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V010,L0084
1925,2000,2400,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0085
400,450,500,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V011,L0086
300,300,400,"Gemstones, minerals, fossils",,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V008,L0087
2000,2000,3000,Sporting Memorabilia,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V048,L0088
40,60,100,Asian Oriental Chinese Japanese,,20.0,20.0,15.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V027,L0089
900,950,1000,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V017,L0090
55,55,65,Writing Pens Stationery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V060,L0091
475,500,550,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V011,L0092
2541,2500,3100,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0093
380,380,480,"Gemstones, minerals, fossils",,20.0,20.0,0.0,20.0,345,0,True,Sold,Below Estimate,True,69.0,13.8,0.0,0.0,V008,L0094
15,20,40,Jewellery,,20.0,20.0,0.0,20.0,15,0,True,Sold,Below Estimate,False,3.0,0.6,0.0,0.0,V028,L0095
10,15,30,Toys Dolls etc,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V028,L0096
900,900,990,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V017,L0097
80,80,90,Jewellery,,20.0,20.0,0.0,20.0,80,0,True,Sold,Within Estimate,False,16.0,3.2,0.0,0.0,V060,L0098
375,400,450,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V011,L0099
1232,1200,1500,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0100
400,400,500,"Gemstones, minerals, fossils",,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V008,L0101
450,500,650,"Gemstones, minerals, fossils",,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0102
10,15,20,Militaria/Fire Arm,,20.0,20.0,0.0,20.0,10,0,True,Sold,Below Estimate,False,2.0,0.4,0.0,0.0,V028,L0103
10,15,30,Jewellery,,20.0,20.0,0.0,20.0,10,0,True,Sold,Below Estimate,False,2.0,0.4,0.0,0.0,V028,L0104
1617,1600,2000,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0105
180,200,250,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V011,L0106
250,280,310,Antique,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V012,L0107
350,350,450,"Gemstones, minerals, fossils",,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V008,L0108
900,900,950,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0109
500,500,580,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0110
350,350,380,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V017,L0111
4851,4800,5300,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0112
950,950,1100,"Gemstones, minerals, fossils",,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V008,L0113
2965,3000,3500,Jewellery,,20.0,20.0,0.0,20.0,2800,0,True,Sold,Below Estimate,True,560.0,112.0,0.0,0.0,V018,L0114
650,650,750,"Gemstones, minerals, fossils",,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V008,L0115
700,700,850,Watch/Pocket watch/Clock,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0116
900,900,1100,Watch/Pocket watch/Clock,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0117
10,15,30,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V028,L0118
